Products,Brand,New_price,Previous_price
 , , , 
Vico ChocolateMalt4009,Vico,Rs 116.95,RS 148.00
Horlicks 500g(ClassieMalt/Chocolate,Horlicks,Rs 182.00,Rs223.00
Nature'sOwn Cocoa Powder 250g,Nature'sOwn,Rs 129.50,RS 156.00
Nestle Dessert Cream290g,Nestle,Rs 79.95,RS 89.00
Nestie Sweet CondensedMilk385g,Nestie,Rs 81.95,RS 89.00
Miel Or Polytloral Sgueeze500g,Miel,Rs 164.95,RS 195.U0
Lady Liberty Jam340g(All Refs,Lady,Rs45.95,Rs 53.60
Stute DiabeticExtraJam430g AllRefs),Stute,Rs 164.50,Rs 2!4.00
Rhodes Jam lnPlasticTub290g AllReis),Rhodes,Rs47.95,Rs59.90
Nussa 400gClassic/Duo,Nussa,Rs 75.50,RS 94.40
Tropic SmootnPeanutButterr PlasticJar250g,Tropic,Rs52.50,Rs 63.00
Yum Yum Peanut Butter 400g/380g AllRefs),Yum,Rs 128.50,Rs155.00
Shareat Panipuri Kit 115g (Garlic/Hing,Shareat,Rs 52.50,Rs 81.00
MrNutty Peanut Butter250g,MrNutty,Rs39.80,RS 49.00
Melissa PruneauxDenoyaute500g,Melissa,Rs207.50,Rs 245.00
Renata CakeMixChoco400gx2 Bundle Pack ChocotBhgadeiro,Renata,Rs 128.50,RS158.00
GRS Bhg Cones xi5pcs(Plastic,GRS,Rs31.50,Rs43.00
Gold Reet Fruicocktail/Salad/Aoncot 410g,Gold,Rs54.95,RsE5.30
Hanson Paste300g(Red Chillt/Tamarind papaya/mmint chutney/ ginger/ garlic/mix,Hanson,Rs 57.80,Rs72.00
Zaiga Ginger&GaricPaste330g,Zaiga,Rs 62.50,Rs 92.70
Suhana Ginger&GarlicPasteikg,Suhana,Rs167.50,Rs235.00
Bazela Paste300g(Ganlic/Ginger Garlic&Ginger,Bazela,Rs78.50,Rs103.50
Sundip Paste340g(Garlic/Ginger Garlic& Ginger,Sundip,Rs 74.95,Rs 94.50
Rajah Masala100g(AII Refs,Rajah,Rs55.95,RS 67.50
RoyalPickles Pate PimentVert125g,RoyalPickles,Rs 64.50,Rs25.00
RoyalPickles AjgreDoux150g,RoyalPickles,Rs84.50,Rs 96.00
Mother'sRecipe Ready To Cook90/100g AlIRefs),Mother'sRecipe,Rs50.80,Rs 5t.00
Thali PickleHexagon260g AllReis,Thali,Rs 62.80,Rs 95.00
Sarua AchardDail200g,Sarua,Rs 112.95,Rs 145.50
 , , , 
StLazzat Epice Pour BiiyaniLegumes 50%Extra Free105g,StLazzat,Rs 29.95,RS 49.00
Hashnoor Tandoori Mix60g,Hashnoor,Rs39.95,RS 47.00
Izzat Kentuckypowder185g,Izzat,Rs28.50,Rs35.00
Mayil Massala400g(Mild/Super Fort/Sans Piment,Mayil,Rs79.95,Rs105.00
Algadan AgarAgar 10g,Algadan,Rs 16.50,Rs 29.00
Vishal Pure Ghee800g,Vishal,Rs 299.00,Rs .450.00
RKG Pure Ghee Jar 800g,RKG,Rs 359.00,Rs 450.00
Easy Cook Fhed Onion400g-BOX,Easy,Rs94.50,Rs 15.00
Nutrela 100%Veg Soya-220g Chunks/Granule/Mint,Nutrela,Rs 35.50,Rs 53.75
Ducros Mayonnaise235g,Ducros,Rs 61.95,Rs 25.00
Rosanna WholePeeledTomatoes 2500g(ltaly,Rosanna,Rs 139.95,Rs128.00
Rosanna Baked Beans400g,Rosanna,Rs 28.95,Rs39.00
Rosanna Red Kidhey Beans400g,Rosanna,Rs 26.95,RS35.00
Rosanna MixedVeg400g,Rosanna,Rs 26.95,Rs 35.00
 , , , 
Lesieur Salade Sauce Lepere 500ml Huile D'olive&Citron/Moutaro aLancienne,Lesieur,Rs 89.9s,Rs 105.95
Kuhne Yoghurt&Dressing250ml Ceasar /Honey Mustard ClassicRanch,Kuhne,Rs 89.95,RS 104.30
Heinz Tomato Ketchup855g,Heinz,Rs92.50,RS11250
Safa TomatoKetchup340g,Safa,Rs36.30,Rs 45.40
Sunny Chill Sauce300ml(AllRefs,Sunny,Rs43.50,Rs 55.00
Yeo's Chilli Sauce290mlAllRefs,Yeo's,Rs49.95,Rs 59.00
sunglory TomatoKetchup300m,sunglory,Rs43.50,Rs55.00
Sunny Sauce Ajgre Doux375m,Sunny,Rs 69.95,Rs 94.00
Sundip GreenChilli Sauce330g,Sundip,Rs 49.95,Rs 65.00
Maggi Chilli GanlicSauce3059,Maggi,Rs59.95,RS 68.00
Nando's PerPeri125ml (AllRefs,Nando's,Rs98.50,RS122.50
Woh Hup VolcanicHot Sauce450g,Woh,Rs 84.20,Rs196.50
 , , , 
Panzani Sauce210gProvencal Tomate-Basilic/Originall,Panzani,Rs74.30,Rs 94.00
ThreePrann BrandFish Sauce750m,ThreePrann,Rs71.80,RS 92.40
Yeo's Soya Sauce 640ml(Darky Light/ MushroomFishSauce,Yeo's,Rs74.80,Rs 87.00
Soleil NaturalVinegar 750ml (White/Brown),Soleil,Rs 29.95,Rs35.90
BellaPama 350g(Basiico/Arrabbiata,BellaPama,Rs 65.50,Rs 8t.00
Moroil Sunfiower Oi/ It,Moroil,Rs64.80,RS 23.00
Alpa Harcot Rouge500g,Alpa,Rs31.80,Rs 35.00
BestFood RaisinBlanc200g,BestFood,Rs30.50,Rs 43.00
StarTamarind 300g,StarTamarind,Rs 19.95,Rs 25.00
Oki Soya BeanOil2it,Oki,Rs 229.50,Rs 275.U0
Stlazzat Bessan500g(Pure/melange,Stlazzat,Rs 35.95,Rs.48.00
INAS Lentille Rouge500g,INAS,Rs 24.50,SPECIAL
INAS DhollPetit Pois500g,INAS,Rs11.80,Rs 28.00
INAS Soya Chunks250g,INAS,Rs C2.95,Rs 27.50
Easy CooK Greo Grille400g,Easy,Rs 23.95,Rs 25.00
Regia Couscous500g(Fin/Moyen,Regia,Rs 65.95,Rs 83.00
Uphaar GlutenFreeAtta5kg,Uphaar,Rs 390.00,Rs 586.00
Pillsbury Chakki Atta2kg,Pillsbury,Rs119.50,Rs122.00
Stlazzat Greo Grille400g,Stlazzat,Rs 26.95,Rs 35.00
LesMoulins FarineBlancLMLC2kg,LesMoulins,Rs 44.95,Rs 52.00
Stc FarineBlanches2.5kg,Stc,Rs22.80,Rs 25.00
Pasta Zara Pates500g(MacaroniNo40/ Spaghetti No3,Pasta,Rs57.95,Rs23.00
Barilla Pates 500gMacaront/Spaghett No.7/Spaghetti No.5,Barilla,Rs68.30,Rs 84.50
Macaroni National 500g,Macaroni,Rs 14.50,Rs 21.50
San Remo Pate Classic500g(Spaghettu5y Spirals/Bowties/Macaroni/Curis,San,Rs 56.95,Rs23.10
Bledor Self Raising Ikg,Bledor,Rs36.80,R 45.00
Bledor Farine1kgChapatis/Greo MultiUsage/Farathas/Patisstere),Bledor,Rs34.50,Rs 39.00
Golden Food Cream Style Com 425g,Golden,Rs31.95,Rs 37.00
Golden Food Mushroom Pieces &Stems 400g,Golden,Rs31.80,Rs 49.00
Golden Food,Golden,Rs35.95,RS 45.00
Alpa Demerara Raw Sugar ikg,Alpa,Rs59.95,Rs 85.00
 , , , 
Danborg Chicken Luncheon Meat200g,Danborg,Rs42.80,Rs 68.00
Sardine Citadelle1259,Sardine,Rs 18.95,Rs 2100
Apollo CupNoodles85g(Chicken/ Curty/TomYum/Vegetable,Apollo,Rs 19.50,Rs 25.00
Knorr Soup50g (AllRefs,Knorr,Rs32.50,RS 38.30
Tulip Chicken Luncheon Meat340g,Tulip,Rs73.80,Rs 88.00
Panzani Pates Classic500g Coguillette/MacaroniTorti,Panzani,Rs 59.95,Rs75.00
Atlantic Makerel425g(Tomato Sauce/ Vegetable Oil,Atlantic,Rs39.95,RS.45.00
Tropical TunaFlakeslnOil170g,Tropical,Rs 26.50,Rs 37.12
Omega Sardines in Veg Oil 125g Maroc,Omega,Rs 18.95,Rs 21.50
Trebon TunaFlakesInBrine170g,Trebon,Rs 27.95,Rs35.50
Prochamp SlicedMushroom390g,Prochamp,Rs32.50,RS43.50
Hibiscus SlicedMushroom425g,Hibiscus,Rs31.95,RS45.00
Sunny Pasta Sauce425g NaturalChicken,Sunny,Rs 59.50,RS7250
D'aucy PetitPoisFins/HancotVert Pois Chiche400g,D'aucy,Rs43.50,Rs52.00
GoldenFood Baby Comn 425g,GoldenFood,Rs42.50,Rs 59.00
LuckyStar PilchardsInTomato Sauce 425g,LuckyStar,Rs 67.50,Rs 72.30
Rio Whole PeeledTomato400g,Rio,Rs 21.50,Rs 25.00
Rosanna Butter Beans 400g,Rosanna,Rs28.95,SRN
Amadora Chick Peas400g,Amadora,Rs 23.50,Rs 23.50
Rosanna Chick Peas400g,Rosanna,Rs 26.95,Rs 25.00
RoualBourbon Cuisine410gHancotsRouge Haricots Blancs/ Pois Du cap,RoualBourbon,Rs 44.95,Rs 5530
Rushd Premium1121XXXI Basmati Rice 5Kg,Rushd,Rs319.00,SPECIAL
Xtaaz Basmatl-1121-5kg,Xtaaz,Rs329.95,Rs353.00
Rice-0-India Premium1121Basmat 5kg,Rice-0-India,Rs289.00,SPEOIAL
